image_name,image_url,article_title,context,caption,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt
New_Jersey_Symphony_Orchestra_logo_with_Jacques_Lacombe.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/New_Jersey_Symphony_Orchestra_logo_with_Jacques_Lacombe.png/220px-New_Jersey_Symphony_Orchestra_logo_with_Jacques_Lacombe.png,New_Jersey_Symphony,"Other press comments have noted that in spite of the financial troubles and controversy over this instrument collection, the orchestra has improved artistically during the tenure of Neeme Järvi (2005-2009).[23] In October 2007, the New Jersey Symphony announced that Järvi had extended his contract as music director through the 2008–2009 season, with a commitment to six weeks of subscription concerts.[24] In February 2008, the orchestra confirmed the conclusion of Järvi's tenure as the New Jersey Symphony's music director at the end of the 2008–2009 season.[2] In March 2009, the New Jersey Symphony indicated that Järvi had agreed to serve as the orchestra's artistic adviser after the conclusion of his contract as music director, and subsequently to take the title of conductor laureate. The orchestra also reduced its staff and the number of subscription concerts, from 70 to 61, scheduled for the 2009–2010 season.[25][26]",NJSO logo before the rebranding,"Logo for the New Jersey Symphony Orchestra. The initials ""NJSO"" are prominently displayed, with a stylized red ""S"". Above, the full name is written in white text. Below, it states ""Jacques Lacombe Music Director"" on a dark background.","Alt-text: Logo of the New Jersey Symphony Orchestra featuring the large letters ""NJSO"" with the ""J"" stylized in red to form part of a treble clef symbol. Above the letters, it reads ""New Jersey Symphony Orchestra,"" and below it says ""Jacques Lacombe Music Director."" The background is a dark color.","Logo of the New Jersey Symphony Orchestra with the letters ""NJSO"" in bold, white font against a dark background. The ""S"" is stylized in red. Text below reads ""Jacques Lacombe Music Director.""","Logo of the New Jersey Symphony Orchestra with the letters ""NJSO"" and the text ""Jacques Lacombe Music Director."""
Trezor_Model_T.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Trezor_Model_T.jpg/220px-Trezor_Model_T.jpg,Hardware_security_module,Blockchain and HSMs[edit] Blockchain technology depends on cryptographic operations. Safeguarding private keys is essential to maintain the security of blockchain processes that utilize asymmetric cryptography. The private keys are often stored in a cryptocurrency wallet like the hardware wallet in the image.,A cryptocurrency hardware wallet,"A Trezor hardware cryptocurrency wallet with a green casing is displayed on a wooden surface. The screen shows a transaction confirmation for sending 1.80589 ADA to a specified address. Below the transaction details, the word ""Swipe"" is shown with an arrow icon.","Alt-text: A green Trezor hardware wallet on a wooden surface displays a screen confirming a cryptocurrency transaction. The screen shows details such as the cryptocurrency amount, 1.80539 ADA, and part of the recipient address.","A green Trezor device on a wooden surface displays a confirmation screen with the text, ""Confirm transaction. Confirm sending 1.80539 ADA to addr_test1wngshj4t84tnrf893jnxaph.""","A green hardware wallet displaying a screen that shows a prompt to confirm a cryptocurrency transaction, with details such as amount and address."
"Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Brady_Tkachuk,_Brian_Dumoulin_and_Drake_Batherson_(53452076180).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Brady_Tkachuk%2C_Brian_Dumoulin_and_Drake_Batherson_%2853452076180%29.jpg/220px-Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Brady_Tkachuk%2C_Brian_Dumoulin_and_Drake_Batherson_%2853452076180%29.jpg,Brady_Tkachuk,"Tkachuk was named an alternate captain in the 2020–21 season.[15] Tkachuk was selected to replace the injured Auston Matthews on the Atlantic Division roster for the 2020 NHL All-Star Game on January 22, 2020.[16] He finished the season with 17 goals and 36 points in 56 games and established himself as a pest to opposing teams and a leader to his own.[17]",Tkachuk (center) battling for position with Brian Dumoulin of the Seattle Kraken in 2024.,"Two hockey players in white jerseys with red and black accents from one team and one player in a black jersey with light blue accents and the number 8 from another team are on the ice during a game. The background shows additional players, a crowd, and part of the arena.","Alt-text: Three ice hockey players during a game. Two players in white jerseys with red and black trim from the Ottawa Senators are positioned closely together, while a player in a dark jersey from the Seattle Kraken is nearby. The background shows a crowd of spectators watching the game.","Hockey players from two teams are in action on the ice, with one wearing white and red uniforms and another in black and blue. Spectators are seen in the background.",Ottawa Senators players in white jerseys skating on the ice with a Seattle Kraken player in a dark jersey during a hockey game.
Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Brian_Dumoulin_and_Drake_Batherson_(53451782453).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Brian_Dumoulin_and_Drake_Batherson_%2853451782453%29.jpg/220px-Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Brian_Dumoulin_and_Drake_Batherson_%2853451782453%29.jpg,Drake_Batherson,"Batherson found immediate success in the AHL and was later selected to participate in the 2019 AHL All-Star Game, where he scored five goals for the North Division and was named Most Valuable Player.[10] On February 8, 2019, Batherson set a Belleville Senators franchise record for most goals by a rookie in a season when he scored his 12th goal of the season.[11] In 2019–20, Batherson split the season between Belleville and Ottawa. During the 2019–20 AHL season, Batherson was again chosen to participate in the 2020 AHL All-Star Game after leading the league in scoring.[12] During his time in Belleville, Batherson set franchise records for goals, assists and points.[13]",Batherson (right) battling for position against Brian Dumoulin of the Seattle Kraken in 2024.,"Two ice hockey players from opposing teams compete for the puck on the rink. The player on the left wears a dark jersey with the number 8, while the player on the right wears a white jersey with red and black accents. Spectators can be seen in the background behind the glass barrier.","A hockey game scene showing two players in action near the boards. The player on the left is wearing a dark jersey with the number 8, while the player on the right is in a white jersey with red and black accents. Spectators and advertisements are visible in the background.","Two ice hockey players, one in a black and teal uniform and the other in a white, red, and black uniform, compete for the puck on the rink. Spectators are visible in the background.",A hockey player in a white and red uniform skates with the puck while being closely pursued by a player in a black and teal uniform during a game.
Eugene_E._Lindsey_Arlington_National_Cemetery.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Eugene_E._Lindsey_Arlington_National_Cemetery.jpg/310px-Eugene_E._Lindsey_Arlington_National_Cemetery.jpg,Eugene_E._Lindsey,"Lindsey was born in Sprague, Washington, on 2 July 1905 and graduated from the United States Naval Academy in 1927.[1] William Brockman, Creed Burlingame and John Thatch were some of his classmates.[2] After duty on USS Nevada and USS Saratoga, he completed flight training in 1929 and served with a bombing squadron on USS Lexington and an observation squadron in USS Maryland. From 3 June 1940 he commanded Torpedo Squadron Six (VT-6), which flew Douglas TBD-1 ""Devastator"" torpedo bombers, in USS Enterprise.[3]",Cenotaph at Arlington National Cemetery,"The image shows a cemetery with a focus on a white tombstone in the foreground. The tombstone has an engraving of a cross at the top, and the name ""Eugene Elbert Lindsey"" among other details is visible. The cemetery is on a grassy slope with several more white tombstones in the background. The ground is covered with fallen leaves, and there are trees with green and yellow foliage surrounding the area, indicating an autumn setting.","A hillside cemetery with numerous white headstones, prominently featuring the gravestone of Eugene E. Lindsey. The headstone is inscribed with his name and military service details. Autumn leaves are scattered on the grassy slope, and trees with yellowing leaves stand in the background.","A sloped cemetery with white gravestones, one in the foreground inscribed with ""Eugene Lindsey."" Autumn leaves are scattered on the grass, and trees with yellowing leaves are visible in the background.","A white marble gravestone with the inscription ""Eugene Elbert Lindsey"" stands on a grassy hillside surrounded by other gravestones. Trees with autumn leaves are visible in the background."
Richard_Halsey_Best_Arlington_National_Cemetery.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Richard_Halsey_Best_Arlington_National_Cemetery.jpg/220px-Richard_Halsey_Best_Arlington_National_Cemetery.jpg,Richard_Halsey_Best,"After his retirement from the Navy, Best moved to Santa Monica, California, where he lived for the rest of his life. After discharge from the hospital, Best worked in a small research division of the Douglas Aircraft Corporation. This division became part of the Rand Corporation in December 1948, where Best headed the security department until his retirement in March 1975.[19] Best wrote the preface to the manual of Battlehawks 1942, a flight simulation video game released in 1988 by LucasFilm Games.",Grave at Arlington National Cemetery,"The image shows a white tombstone in a cemetery with well-maintained grassy grounds. The tombstone displays engraved text with a name, which is partially obscured, along with a reference to military service as a U.S. Navy member during World War II, mentioning the rank of ""Lt. Cmdr."" and a note about burial at Arlington National Cemetery. Several other similar tombstones are visible in the background, indicating a large, uniform cemetery layout.","Alt-text: A white gravestone in a cemetery with the inscription ""Richard Halsey Best, Lt. Cmdr, US Navy, World War II, March 24, 1910 - October 28, 2001."" The gravestone is surrounded by grass, and other similar gravestones can be seen in the background.","White gravestone in a cemetery with the inscription: ""Richard Halsey Best, Lt. Cdr, U.S. Navy, World War II, March 24, 1910 - October 28, 2001.""","A gravestone in a cemetery with the words ""Richard Halsey Best, Lt. Cdr, U.S. Navy, World War II, March 24, 1910, Oct. 28, 2001."""
Headstone_of_Medgar_Evers.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Headstone_of_Medgar_Evers.jpg/220px-Headstone_of_Medgar_Evers.jpg,Medgar_Evers,"Evers was memorialized by leading Mississippi and national authors James Baldwin, Margaret Walker, Eudora Welty, and Anne Moody.[37] In 1963, Evers was posthumously awarded the Spingarn Medal by the NAACP.[38] In 1969, Medgar Evers College was established in Brooklyn, New York, as part of the City University of New York.",Grave at Arlington National Cemetery,"A gravestone in a cemetery is prominently displayed. The stone is white and engraved with the name ""Medgar W. Evers,"" along with military service details and dates. The gravestone is surrounded by grass, and other similar gravestones are visible in the background, under a partly cloudy sky with trees in the distance.",Alt-text: A close-up view of Medgar W. Evers' gravestone. The headstone is set in a grassy area with other graves visible in the background. Text on the gravestone includes his name and military service details. Trees and a partly cloudy sky can be seen in the distance.,"A headstone in a cemetery with the inscription ""Medgar W. Evers, Mississippi, TFC, QMC, World War II."" Trees and other headstones are visible in the background.","A gravestone with the inscription ""Medgar W. Evers, Mississippi, Tech 5, OMC, World War II."""
Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Angus_Crookshank_(53450732437)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Angus_Crookshank_%2853450732437%29_%28cropped%29.jpg/170px-Ottawa_Senators_at_Seattle_Kraken_-_2024-01-04_-_Angus_Crookshank_%2853450732437%29_%28cropped%29.jpg,2018_NHL_entry_draft,Spencer Stastney was selected 131th overall by the Nashville Predators. Akira Schmid was selected 136th overall by the New Jersey Devils.,Angus Crookshank was selected 126th overall by the Ottawa Senators.,"Hockey player in a white Ottawa Senators uniform with number 59 on the sleeves and back, holding a hockey stick on the ice during a game. Spectators in the background are taking photos.","Alt-text: A hockey player in a white jersey with red and black accents, wearing the number 59, skates on the ice during a game. The player holds a hockey stick and is looking focused. Spectators in the background are taking photos.","A hockey player in a white, black, and red uniform skates on the ice during a game. Spectators can be seen in the background.",A hockey player in a white Ottawa Senators jersey with the number 59 skates during a game.
Francis_Marion_001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Francis_Marion_001.jpg/240px-Francis_Marion_001.jpg,Battle_of_Tearcoat_Swamp,"Deployments[edit] On October 24  Major General Nisbet Balfour ordered lieutenant colonel Samuel Tynes.[2] to lead and train a loyalist militia in the High Hills area between Salem, SC and Nelsons Ford. The loyalists procured armaments and supplies from Camden, and marched to the area near Tearcoat Swamp. Colonel Tynes intended to strengthen his numbers and train the men in warfare. Tynes bivouacked his men in the fork of Black River effectively placing Tearcoat Swamp at his back, believing that it would shield his men from the enemy.[1] Unbeknownst to the British a group of Marion's scouts had observed and reported the position of the loyalists. Upon hearing of the enemy movement Marion expressed that this was an excellent opportunity ""to break up the party, before its newly made converts should become confirmed in the principles they had unwillingly adopted"".[3] Marion secretly decided to attack the loyalists at Tearcoat before they could muster anymore men. Marion remained silent about his plan of attack, and even his own men were unaware of the intended action.  To further cover his plan, before departing Marion spread rumors that he and his men would march on McCallum's Ferry. Marion gathered his men and, left his camp at Kingstree on the morning of October 25 and led his 152 men towards Salem.",General Francis Marion,"A black and white engraving of a man in a historical military uniform. The uniform features epaulettes and a high-collared coat. The man's expression is serious, and his hair is styled in an 18th-century fashion, with short curls. The background is plain, emphasizing the figure.","Alt-text: A black and white illustration of a man in 18th-century military attire, featuring epaulets on his shoulders and a high collar. His hair is styled in a manner typical of the period. The image is likely related to historical military figures from the Battle of Tearcoat Swamp.",A black and white engraving of a historical figure wearing a military uniform with epaulettes.,"An engraved portrait of a man in a military uniform with epaulets, likely from the 18th century."
Artiaga_brothers_2022_CTWC.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Artiaga_brothers_2022_CTWC.jpg/220px-Artiaga_brothers_2022_CTWC.jpg,Andrew_Artiaga,"In the 2021 CTWC, Artiaga placed second in his seed after achieving eleven ""maxouts"", a point in the game where the score becomes so high it no longer registers correctly on-screen, in his qualifying rounds.[7] In the semifinals, Artiaga lost to his brother Michael who would secure a first place in the CWTC again,[3] and finished in fourth behind his original inspiration for the game, Joseph Saelee.[2][8] In the lead up to the 2022 CTWC, Artiaga beat three world records for highest combined score in a single game, highest losing score at 1.5 million points, and highest winning score at 2.1 million points, all within a monthly competition in May.[2] In the 2022 CTWC, Artiaga placed fourth in his qualifying seed after achieving 13 maxouts within 2 hours of playing.[7] He placed third at the end of the championship, beating his brother who came in fourth. In the 2023 CTWC, Artiaga placed sixth in his qualifying seed but lost in the quarterfinals to Justin Yu (known online as ""Fractal161""), who went on to win the championship.[7] On January 4, 2024, Artiaga ""beat the game"" after triggering a game crash, which can only occur on very high levels. Artiaga became the third person to do so after Willis Gibson (known online as ""Blue Scuti"") and Justin Yu did so just days earlier.[7] From June 8–9, Artiaga competed in the 2024 Classic Tetris World Championship, where he was eliminated in the Round of 16 by Eve Commandeur (""Sidnev"") who went on to be eliminated in the quarterfinals.[9][10]",Andrew (closest to the camera) and his brother Michael (second closest) competing at the 2022 CTWC,"A group of people sitting closely together at a table, deeply focused on playing video games. They are wearing casual clothing and lanyards with badges. Various monitors and gaming equipment are on the table, and there is a large drink cup with a straw near one of the players. The background shows more people and gaming setups, suggesting a busy and lively gaming event.","Alt-text: A group of young men seated at a row of gaming stations, each focused on their screens. They are participating in a gaming competition, wearing lanyards and casual clothing. Some have gaming gloves on their hands, and a large drink cup is visible on the table next to them. The background shows additional participants and attendees in a large event space.","People sitting in rows at a gaming event, focused on screens and holding controllers. They are wearing lanyards, and a drink cup with a straw is visible on the table.","Several young competitors are focused on playing video games at a tournament, each seated in front of CRT monitors, wearing ID lanyards, with drinks on the table nearby."
HM_Queen_Elizabeth_in_procession_into_the_Jameson_Hall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/HM_Queen_Elizabeth_in_procession_into_the_Jameson_Hall.jpg/220px-HM_Queen_Elizabeth_in_procession_into_the_Jameson_Hall.jpg,Thomas_Benjamin_Davie,"Thomas Benjamin Davie (23 November 1895, Prieska, Cape Province - 13 December 1955, London, England) was an academic and vice-chancellor of the University of Cape Town from 1948 until his death.","Queen Elizabeth in procession into the Jameson Hall, flanked by Dr T.B. Davie, Vice-Chancellor (left) and General Jan Smuts, Chancellor.","Three individuals in formal academic attire walk together in a corridor. The person in the middle is wearing a hat and gown, flanked by two individuals in robes. The setting is likely an academic or ceremonial event.","Alt-text: A black and white photograph showing three people in academic regalia walking side by side. The person in the center wears a graduation gown and cap, while the two individuals on either side are dressed in robes with ornate details, suggesting a formal academic event. They appear to be in a grand hallway or entrance, with columns visible in the background.","A black and white photograph of three people walking down a hallway, wearing formal academic robes and hats. The central figure appears to be a woman, accompanied by two men, one on either side.","Three people in formal academic robes walking in a corridor, with the woman in the center wearing a gown and hat."
Pro_Wrestling_Grind_logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Pro_Wrestling_Grind_logo.png/250px-Pro_Wrestling_Grind_logo.png,Delmi_Exo,"In 2021 Exo became one of the promoters of Pro Wrestling Grind, a promotion based in Easthampton, Massachusetts.[2][3]  Impact Wrestling (2020)[edit]",Logo of Pro Wrestling Grind,"Logo for ""Pro-Wrestling GRIND"" featuring bold green letters spelling ""GRIND"" with ""Pro-Wrestling"" in a smaller yellow rectangle above it. Below are Japanese characters in gold.","Alt-text: Logo of Pro Wrestling Grind featuring the name in bold green letters with ""プロレスグラインド"" written below in smaller text.","Logo with the words ""PRO-WRESTLING GRIND"" in bold, green and black letters, with Japanese text underneath.","Logo of ""Pro Wrestling Grind"" with text in English and Japanese."
Pheu_Thai_Party_Executive_Committee_2023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Pheu_Thai_Party_Executive_Committee_2023.jpg/220px-Pheu_Thai_Party_Executive_Committee_2023.jpg,Srettha_Thavisin,"In November, 2022, Srettha announced his intention to join the Pheu Thai Party.[31] During the 2023 Thai general elections, he was named one of the party's three prime ministerial candidates on 5 April 2023. Throughout the campaign, polls frequently showed him trailing behind Paetongtarn in the race for the preferred prime ministerial choice.",Srettha (center) and Paetongtarn Shinawatra with Pheu Thai Party Executive Committee before 2023 Thai general election,"A group of eleven people, ten men and one woman, are dressed in formal suits, standing in a line against a red background. The woman is wearing a red suit while the men are all in black suits with white shirts. They are posing for a photo, likely at an event or gathering.","Alt-text: A group of people in formal attire stand in a line against a red background. Most are wearing dark suits, with one individual in a red suit. They appear to be part of an official gathering or announcement.","A group of eleven people stands in a line, all wearing formal suits. The background is a solid red color.","A group of people wearing formal attire, including suits and a red outfit, standing in front of a red background."
Chicago_1975_press_photo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Chicago_1975_press_photo.jpg/280px-Chicago_1975_press_photo.jpg,Chicago_(band),"Other albums and singles followed in each of the succeeding years. 1973's Chicago VI was the first of several albums to include Brazilian jazz percussionist Laudir de Oliveira[50] and saw Cetera emerge as the main lead singer. According to William James Ruhlmann, de Oliveira was a ""sideman"" on Chicago VI and became an official member of the group in 1974.[50] Chicago VI featured two top ten singles,[20] ""Just You 'n' Me"", written by Pankow, and ""Feelin' Stronger Every Day"", written by Pankow and Cetera. Chicago VII was the band's double-disc 1974 release. Three singles were released from this album: ""(I've Been) Searchin' So Long"", written by Pankow, and ""Call On Me"", written by Loughnane, which both made it into the top ten;[20] and the Beach Boys-infused ""Wishing You Were Here"", written by Cetera, which peaked at number eleven.[20] Writing for Billboard magazine, Joel Whitburn reported in October 1974 that the group had seven albums, its entire catalog at the time, on the Billboard 200 simultaneously, placing them seventh in a list of artists in that category.[21] Their 1975 release, Chicago VIII, featured the political allegory ""Harry Truman"" (No. 13, Top 100 chart) and the nostalgic Pankow-composed ""Old Days"" (No. 5, Top 100 chart).[51][52] That summer also saw a joint tour across America with the Beach Boys,[50] with the two acts performing separately, then coming together for a finale.[53] Chicago VI, VII, and VIII all made it to No. 1 on the Billboard 200,[19] all were certified gold the years they were released, and all have since been certified platinum. Chicago VI was certified two times multi-platinum in 1986.[54] Chicago IX: Chicago's Greatest Hits was released in 1975 and became the band's fifth consecutive No. 1 album on the Billboard 200.[19]",Chicago circa 1975.,"Black and white photo of seven people posing together. Three individuals are standing at the back, while four are sitting or kneeling in front. They are casually dressed, some wearing shirts and long sleeves. The group appears relaxed, with some looking directly at the camera. The background is a plain light color.","Alt-text: A black and white photo of the band Chicago, featuring seven members. Some are seated while others are standing behind them, all posing casually for the camera. They are dressed in 1970s-style casual clothing.","A black and white photo of seven people posing together in casual clothing, sitting and kneeling closely in a studio setting.",A black and white photo of the band Chicago with seven members posing together.
"Statue_of_Seti_II,_sandstone_-_Museo_Egizio_Turin_C_1383_p013.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Statue_of_Seti_II%2C_sandstone_-_Museo_Egizio_Turin_C_1383_p013.jpg/220px-Statue_of_Seti_II%2C_sandstone_-_Museo_Egizio_Turin_C_1383_p013.jpg,Precinct_of_Amun-Re,"Temple of Ramses III, main entrance Second pylon photographed from the west side The main temple is laid out on an east–west axis, entered via a quay (now dry and several hundred metres from the Nile).","Great courtyard with entrance to the chapels of the sacred boats of Seti II, with the reconstruction of the location of the large statue of the pharaoh now at the Museo Egizio of Turin (on the left) and of another similar (right) at the Louvre.[3]","Alt-text: Stone entrance of an ancient Egyptian temple with large, weathered statues flanking the doorways. The structure is made of light-colored stone and showcases traditional Egyptian architecture, including large rectangular pillars. The foreground is a wide, empty stone courtyard. The sky is clear and pale, highlighting the historical setting.","Alt-text: The main entrance of the Temple of Ramses III, featuring the Second Pylon, is viewed from the west side. The ancient stone structure has large doorways flanked by two statues. The temple is part of the Precinct of Amun-Re and is oriented along an east-west axis.","Ancient stone building with two large statues flanking the entrance, featuring intricate carvings.","The main entrance of the Temple of Ramses III, featuring two large statues flanking doorways, photographed from the west side."
NSG_2024_04.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/NSG_2024_04.jpg/220px-NSG_2024_04.jpg,Special_forces_of_India,The National Security Guard (NSG) is a specialized counter-terrorism federal contingency force. It was formally created in 1986. It is based on the British Army's Special Air Service and the German GSG 9.[25] The NSG is popularly referred to as the 'Black Cats' due to its distinct black uniforms.[26] It consists of the following two elements[25]-,An NSG commando,"Alt-text: A soldier wearing tactical gear and night vision goggles crouches on the ground with a rifle, accompanied by a dog wearing similar protective gear and goggles. Behind them, an armored vehicle is partially visible, with smoke in the background, creating a dramatic scene. Trees are visible in the surroundings.","Alt-text: A member of the National Security Guard (NSG) in black tactical gear and helmet with night vision goggles, holding a rifle, crouches on the ground. Beside them is a trained dog wearing protective goggles. In the background, there is a black armored vehicle with smoke rising. The scene is set outdoors with trees in the background.","A soldier in tactical gear, equipped with night vision goggles, crouches alongside a dog wearing protective goggles. A military vehicle labeled ""K9"" and smoke are visible in the background.","A National Security Guard operative in black gear crouches with a tactical rifle beside a dog wearing protective goggles. Smoke and an armored vehicle with ""NSG"" are in the background."
NSG_2024_06.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/NSG_2024_06.jpg/220px-NSG_2024_06.jpg,National_Security_Guard,"As a specialized counter-terrorism force, it is intended to be used ""only in exceptional situations"" and is not meant to take over the ""functions of the State Police Forces or other Para Military Forces"".[16] Despite this, its role was later expanded to provide personal security to influential politicians regardless of the real threat that they face. However, in January 2020, NSG was relieved of its additional responsibilities of VIP security and its original roles of counter-terrorism and anti-hijacking were restored.[18]",NSG 2024,"Two armed soldiers in tactical gear navigate through flames. The soldier in front aims a weapon, with patches on their uniform and helmet. The intense fire engulfs the background, creating a dramatic and tense atmosphere.","Alt-text: Two National Security Guard (NSG) commandos in action, wearing black tactical gear and helmets, are surrounded by flames. One commando is aiming a firearm, while the other is partially obscured by smoke. The Indian flag insignia is visible on their uniform.","Two soldiers in full tactical gear walk through flames, one pointing a weapon. Both have an Indian flag patch on their uniforms.","Two armed personnel in tactical gear amidst flames during a training exercise, with one carrying a firearm and an Indian flag patch visible on the uniform."
"Statue_of_the_overseer_of_fields_Kheperka,_granodiorite_-_Museo_Egizio_Turin_C_3064_p01.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Statue_of_the_overseer_of_fields_Kheperka%2C_granodiorite_-_Museo_Egizio_Turin_C_3064_p01.jpg/220px-Statue_of_the_overseer_of_fields_Kheperka%2C_granodiorite_-_Museo_Egizio_Turin_C_3064_p01.jpg,Overseer_of_fields,"The overseer of fields was one of the highest court officials at the Egyptian royal court. The title appears first in the provincial administration of the Old Kingdom and is attested in the First Intermediate Period at the royal court. In the early Middle Kingdom it is again best attested at provincial level.[1] In the late Middle Kingdom they regularly bear the title royal sealer, indicating that they now belonged to the royal court.[2] In the Middle Kingdom is also attested the scribe of the fields who evidently worked under the overseer of fields.[3]","Statue of the overseer of fields Kheperka, granodiorite","Ancient Egyptian statue of a seated figure, carved from dark stone. The figure has a headdress and is seated upright on a block-like chair, with hands resting on its lap. The sculpture is detailed, capturing traditional Egyptian style, and is set against a plain black background.","Alt-text: A stone statue of an ancient Egyptian official seated on a block-like throne. The figure wears a traditional Egyptian headdress and a skirt, with hands resting on its lap. The statue is carved with detailed facial features and clothing, set against a plain black background.","Ancient Egyptian statue made of stone, depicting a seated figure with a headdress, arms resting on the knees, against a dark background.","Stone statue of an ancient Egyptian figure seated on a simple block seat, wearing a traditional headdress with a solemn expression."
"Maggie_Bell_at_Kralingen_Music_Festival,_1970_(2).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Maggie_Bell_at_Kralingen_Music_Festival%2C_1970_%282%29.jpg/220px-Maggie_Bell_at_Kralingen_Music_Festival%2C_1970_%282%29.jpg,Maggie_Bell,"She then rejoined Harvey, forming Power, initially known as The Power of Music and eventually The Power. Bell and The Power regularly performed at The Easterhouse Project, run by Archie Hind and Graeme Noble. They also toured United States Air Force bases in Germany in the mid 1960s. Peter Grant, who was managing The Yardbirds at the time, heard Power playing at one of these bases and agreed to produce and manage them, impressed by the vocal ability of Bell and the guitar playing of Harvey. Power was then renamed as Stone the Crows, an expression used by Grant upon hearing this band.[5]",Bell with Stone the Crows in 1970,Black and white image of a person singing into a microphone on stage. The individual has shoulder-length hair and is wearing a light-colored top. The background shows the underside of a stage roof.,Alt-text: A black-and-white image of a woman singing into a microphone on stage. She has shoulder-length hair and is wearing a light-colored top with embroidery details. The background shows stage equipment and a partially visible tent or roof structure.,"A black and white photo of a person with long hair singing into a microphone on an outdoor stage, wearing a white garment.","A black and white photo of a woman singing into a microphone on stage, with visible details of a tent or canopy above."
Simmonds_Malthouse_2022-10-09_14.01.12.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Simmonds_Malthouse_2022-10-09_14.01.12.jpg/220px-Simmonds_Malthouse_2022-10-09_14.01.12.jpg,Coley_branch_line,"Originally one siding continued north-east to Simonds Brewery crossing Fobney Street on the level; this crossing still exists. At Bear Wharf, adjacent to County Lock on the Kennet, another siding was built to allow trans-shipment of goods between rail and barge, with locomotives sometimes being used to tow vessels short distances against the current. With the decline of the river's use for goods transport the wharf closed in 1969, whilst the brewery siding was severed by the building of the Inner Distribution Road, opened the same year. Today the brewery and wharf sites are occupied by housing.[1][7][10]",Crossing on siding into brewery.,"Street view of a residential area with brick buildings on the right and additional modern buildings on the left. A blue car is parked on the right side, and trees and parked cars line the street. The sky is partly cloudy, and the ground is paved with bricks.","Alt-text: A paved street lined with parked cars, situated between modern residential buildings and a tall red-brick structure. The sky is partly cloudy, and trees are visible in the background.",A cobblestone street lined with parked cars next to red brick buildings under a partly cloudy sky. Trees and additional modern buildings are visible in the background.,A cobblestone street lined with modern apartments on the left and brick buildings on the right. Several parked cars and trees are visible under a partly cloudy sky.
Cat_S22_Flip_open.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Cat_S22_Flip_open.jpg/130px-Cat_S22_Flip_open.jpg,Cat_phone,"Cat Phone was a range of toughened and strengthened mobile phones, including rugged smartphones developed, manufactured and sold by Bullitt Mobile Ltd [3], part of the British telecommunications and consumer electronics technology company Bullitt Group Ltd, under exclusive license from Caterpillar Inc. since 2012.[1]",Cat S22 Flip with Android operating system and touch display,"Alt-text: A flip phone with a digital screen displaying several app icons, including social media and tools. It features a physical keypad with numbers and navigation buttons. The phone is set on a textured, patterned surface.","Alt-text: A black flip-style Cat Phone is open, showing its screen and keypad. The screen displays various app icons, and the keypad includes a central navigation button with numbers and function keys. The phone rests on a textured surface.","A black flip phone with a numeric keypad and directional pad is open, showing its screen displaying app icons like ""Google Chrome"" and ""Facebook."" The phone's brand logo ""CAT"" is visible below the screen. The phone is resting on a patterned fabric surface.","A rugged flip phone with an open screen displaying various app icons and a numeric keypad below, featuring the ""CAT"" logo."
